,name,rating,reviews,company_type,Headquater,old,employees
0,TCS,3.9,(46.1k Reviews),Public,"Mumbai,Maharashtra + 267 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.2,(30.8k Reviews),Public,Dublin + 143 more,33 years old,1 Lakh+ Employees (India)
2,Cognizant,4.0,(27.9k Reviews),Private,Teaneck. New Jersey. + 94 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(33.4k Reviews),Public,"Mumbai,Maharashtra + 1033 more",28 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4.0,(37.6k Reviews),Public,"Mumbai,Maharashtra + 1191 more",28 years old,1 Lakh+ Employees (India)
5,Wipro,3.9,(26.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 227 more",77 years old,1 Lakh+ Employees (India)
6,Infosys,3.9,(26.7k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 122 more",41 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(22.7k Reviews),Public,Paris + 75 more,55 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.8,(20.6k Reviews),Public,"Pune,Maharashtra + 206 more",36 years old,50k-1 Lakh Employees (India)
9,Genpact,4.0,(20k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
10,HCL Technologies,3.9,(17.3k Reviews),Public,"Noida,Uttar Pradesh + 138 more",31 years old,1 Lakh+ Employees (India)
11,Axis Bank,3.9,(18.2k Reviews),Public,"Mumbai,Maharashtra + 1056 more",29 years old,1 Lakh+ Employees (India)
12,Amazon,4.2,(16.8k Reviews),Public,"Seattle,Washington + 355 more",28 years old,1 Lakh+ Employees (India)
13,IBM,4.2,(20.6k Reviews),Public,"Armonk,New York + 118 more",111 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4.1,(14.7k Reviews),Public,"Fremont,California + 68 more",39 years old,10k-50k Employees (India)
15,Larsen & Toubro ...,4.1,(23.8k Reviews),Public,"Mumbai,Maharashtra + 518 more",84 years old,10k-50k Employees (India)
16,Reliance jio,4.0,(14.2k Reviews),Public,"Navi Mumbai,Maharashtra + 953 more",15 years old,50k-1 Lakh Employees (India)
17,Vodafone Idea,4.2,(13.6k Reviews),Public,"Gandhinagar,Gujrat + 563 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(12.8k Reviews),Private,"Ahmedabad,Gujrat + 752 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(13.8k Reviews),Private,Paris + 117 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(13.1k Reviews),Public,"Mumbai,Maharashtra + 470 more",19 years old,50k-1 Lakh Employees (India)
21,Reliance Industr...,4.1,(40.9k Reviews),Public,"Navi Mumbai,Maharashtra + 462 more",49 years old,1 Lakh+ Employees (India)
22,Bharti Airtel,4.1,(12.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 496 more",27 years old,10k-50k Employees (India)
23,Deloitte,4.1,(9.8k Reviews),Private,"New York,New York + 132 more",177 years old,50k-1 Lakh Employees (India)
24,Tata Motors,4.0,(11.9k Reviews),Public,"Pune,Maharashtra + 383 more",77 years old,10k-50k Employees (India)
25,Reliance Retail,4.1,(14.2k Reviews),Private,"Navi Mumbai,Maharashtra + 596 more",16 years old,1 Lakh+ Employees (India)
26,WNS,3.7,(6.7k Reviews),Private,"Mumbai,Maharashtra + 22 more",26 years old,10k-50k Employees (India)
27,Mahindra & Mahin...,3.9,(37.7k Reviews),Public,"Mumbai,Maharashtra + 401 more",77 years old,1 Lakh+ Employees (India)
28,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 550 more",28 years old,10k-50k Employees (India)
29,Flipkart,4.2,(10.6k Reviews),Public,"Bangalore,Karnataka + 419 more",15 years old,50k-1 Lakh Employees (India)
